product_name,price,unit,unit_price,image_name,integration_date,supermarket
Ballantine's Finest,8499,Ft,1l=5666Ft,ballantines-1-5l-2004020323636-1-5k.png,2021-11-11 15:36:06.299775,tesco
Banán lédig,86,Ft/db,1kg=479Ft,banan-ledig-2004005406742.png,2021-11-11 15:36:06.300773,tesco
Barbie baba és ló,6399,Ft/szett,,baba-es-lo-2005100375010-1-5k.png,2021-11-11 15:36:06.301807,tesco
Barbie baba válogatás,10490,Ft/szett,,barbie-baba-valogatas-2005100620588-1-5k.png,2021-11-11 15:36:06.302995,tesco
Barbie lakóautó,31490,Ft/szett,,barbie-lakoauto-2005100505087-2-5k.png,2021-11-11 15:36:06.304031,tesco
Barbie színváltós partibaba,7199,Ft/szett,,barbie-szinvaltos-party-baba-2005100620593-2-5k.png,2021-11-11 15:36:06.304683,tesco
Barbie szőke baba,13990,Ft,,barbie-szoke-baba-2005100498291-1-5k.png,2021-11-11 15:36:06.305719,tesco
Batikolós kreatívszett,3999,Ft/szett,,batikolos-kreativ-szett-2005100601512-1-5k.png,2021-11-11 15:36:06.305719,tesco
Batman figura,9999,Ft,,batman-figura-2005100615434-1-5k.png,2021-11-11 15:36:06.305719,tesco
Batmobile szett figurával,8199,Ft/szett,,batmobile-szett-figuraval-2005100564494-1-5k.png,2021-11-11 15:36:06.305719,tesco
"Bella Cucina Prosecco D.O.C gyöngyöző bor 10,5% 0,75 l",999,Ft/db,1l=1332Ft,bella-cucina-prosecco-d-o-c-gyongyozo-bor-10-5-0-75-l-2005100267824.png,2021-11-11 15:36:06.305719,tesco
belVita Jó Reggelt! rostos és magvas gabonakeksz multipack,599,Ft/cs,1kg=2219Ft,belvita-jo-reggelt-softy-gabonakeksz-2004020302801-1-5k.png,2021-11-11 15:36:06.305719,tesco
Bing és barátai szett,5599,Ft/szett,,bing-es-baratai-szett-2005100617519-1-5k.png,2021-11-11 15:36:06.305719,tesco
Bing Zainetto hátiszák építőkockákkal,6299,Ft,,bing-zainetto-hatiszak-epitokockakkal-2005100617524-1-5k.png,2021-11-11 15:36:06.305719,tesco
"Bing, Sula, Pando plüssfigura",3499,Ft/db,,bing-sula-pando-plussfigura-2005100513817-1-5k.png,2021-11-11 15:36:06.313892,tesco
