product_name,price,image_name,integration_date,supermarket
ALIVE Gyermek termocsizma,4 499,csm_KW44_mindennapi_kicsi_12_2c2f96a6eb.jpg,2021-11-11 15:35:48.730991,aldi
IMPIDIMPI Kisgyermek termocsizma,3 999,csm_KW44_mindennapi_kicsi_13_3c618fd733.jpg,2021-11-11 15:35:48.739018,aldi
BLUE MOTION Női plüss fürdőköntös,3 499,csm_KW44_mindennapi_kicsi_06_nem_0500ff2606.jpg,2021-11-11 15:35:48.739157,aldi
"BLUE MOTION Női alsó, 3 darab",1 999,csm_KW44_mindennapi_kicsi_08_nem_141b207104.jpg,2021-11-11 15:35:48.739157,aldi
ALIVE Gyermek termocsizma,4 499,csm_KW44_mindennapi_kicsi_20_nem_e5e4af6525.jpg,2021-11-11 15:35:48.740195,aldi
"Lakkfilc, 2 darab",699,csm_KW44_tovbbi_kicsi_01_d67acd1049.jpg,2021-11-11 15:35:48.740613,aldi
Karácsonyi csomagolópapír,599,csm_KW44_tovbbi_kicsi_02_9a45206538.jpg,2021-11-11 15:35:48.740613,aldi
"Karácsonyi ajándékkártyaszett, 16 darabos",499,csm_KW44_tovbbi_kicsi_03_acbd9c090a.jpg,2021-11-11 15:35:48.741169,aldi
Licenc csomagolópapír,399,csm_KW44_tovbbi_kicsi_04_61de353a37.jpg,2021-11-11 15:35:48.741169,aldi
Karácsonyi ajándéktasakszett,599,csm_KW44_tovbbi_kicsi_05_7a93e94d45.jpg,2021-11-11 15:35:48.741169,aldi
Elegáns karácsonyi csomagolópapír,349,csm_KW44_tovbbi_kicsi_06_aac22c0e14.jpg,2021-11-11 15:35:48.742193,aldi
GÉMKLUB Dixit társasjáték,8 999,csm_KW44_tovbbi_kicsi_08_79c0201be5.jpg,2021-11-11 15:35:48.742193,aldi
"LED-karácsonyfadísz fából, 3 darab",2 499,csm_KW44_tovbbi_kicsi_09_fba6936ad3.jpg,2021-11-11 15:35:48.742691,aldi
Karácsonyi gyertya,699,csm_KW44_tovbbi_kicsi_10_318c11602f.jpg,2021-11-11 15:35:48.742691,aldi
Elektromos ív gázgyújtó,1 999,csm_KW44_tovbbi_kicsi_11_b1167a7c91.jpg,2021-11-11 15:35:48.743721,aldi
LIQUAIR Prémium illatosító rattanpálcikákkal,1 699,csm_KW44_tovbbi_kicsi_12_c09fb2f95a.jpg,2021-11-11 15:35:48.743721,aldi
TOYLINO Famászóka,15 990,csm_KW44_tovbbi_kicsi_07_el_9c6bf37415.jpg,2021-11-11 15:35:48.743721,aldi
EASYHOME Mini varrógép,5 499,csm_KW44_mindennapi_kicsi_14_9f83db68c4.jpg,2021-11-11 15:35:48.744987,aldi
EASYHOME Ruha- vagy nadrágakasztó-készlet,1 499,csm_KW44_mindennapi_kicsi_15_6e1f9c6b2f.jpg,2021-11-11 15:35:48.744987,aldi
EASYHOME Sámfa vagy cipőkanál,999,csm_KW44_mindennapi_kicsi_16_8afbc6b502.jpg,2021-11-11 15:35:48.744987,aldi
BARNÄNGEN Tusfürdő,1 499,csm_KW44_mindennapi_kicsi_17_2ddf70a5ec.jpg,2021-11-11 15:35:48.744987,aldi
BARNÄNGEN Testápoló vagy Testbalzsam,1 899,csm_KW44_mindennapi_kicsi_18_fda4d9f2e8.jpg,2021-11-11 15:35:48.746028,aldi
BARNÄNGEN Kézkrém,999,csm_KW44_mindennapi_kicsi_19_52a603fd1f.jpg,2021-11-11 15:35:48.746028,aldi
"Mennyezeti LED-lámpa Rendelhető 2021.10.28-tól 2021.11.17-ig, ill. a készlet erejéig",22 990,csm_Kw43_gazdasagos_kicsi_01_79c2eafb73.jpg,2021-11-11 15:35:48.746028,aldi
